start_station_name,end_station_name,trip_count,start_lat,start_lng,e_lat,e_lng
5 Ave & E 72 St,Central Park West & W 72 St,11268,40.77282817,-73.96685276,40.77579376683666,-73.9762057363987
W 89 St & Columbus Ave,Columbus Ave & W 72 St,11265,40.788351059,-73.970567346,40.7770575,-73.97898475
W 20 St & 10 Ave,W 20 St & 8 Ave,11256,40.745686,-74.005141,40.74345335,-74.00004031
W 21 St & 6 Ave,6 Ave & W 33 St,11252,40.74173969,-73.99415556,40.74901271,-73.98848395
West St & Chambers St,Washington St & Gansevoort St,11225,40.717683315,-74.013174415,40.739323,-74.008119
Driggs Ave & N Henry St,Driggs Ave & N 9 St,11168,40.72325,-73.94308,40.71816969454208,-73.95520135760307
University Pl & E 14 St,Greenwich Ave & 8 Ave,11138,40.734814,-73.992085,40.7390169121,-74.0026376103
Newtown Ave & 23 St,31 St & Newtown Ave,11137,40.7713615,-73.9246145,40.7675487799971,-73.9209334552288
12 Ave & W 40 St,West St & Liberty St,11119,40.76087502,-74.00277668,40.711444,-74.014847
N 6 St & Bedford Ave,Broadway & Berry St,11111,40.71745169,-73.95850939,40.71044554,-73.96525063
1 Ave & E 16 St,E 33 St & 1 Ave,11088,40.732091188,-73.98168242,40.74322681432173,-73.97449783980846
Canal St & Rutgers St,Canal St & Rutgers St,11085,40.71427487,-73.98990025,40.71427487,-73.98990025
7 Ave & Central Park South,5 Ave & E 72 St,11057,40.7667405590595,-73.9790689945221,40.77282817,-73.96685276
5 Ave & E 78 St,5 Ave & E 72 St,10996,40.77632142182271,-73.96427392959595,40.77282817,-73.96685276
Kent Ave & N 7 St,Franklin St & Dupont St,10993,40.72036775298455,-73.96165072917938,40.73564,-73.95866
DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Hudson Ave,10984,40.68940747,-73.96885458,40.689888,-73.981013
Plaza St East & Flatbush Ave,Plaza St East & Flatbush Ave,10968,40.673134,-73.969106,40.673134,-73.969106
Centre St & Worth St,Centre St & Chambers St,10939,40.71494807,-74.00234482,40.71273266,-74.0046073
1 Ave & E 68 St,E 88 St & 1 Ave,10927,40.76500525,-73.95818491,40.778301,-73.9488134
N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,10850,40.71745169,-73.95850939,40.716887,-73.963198
E 47 St & Park Ave,W 41 St & 8 Ave,10827,40.75510267,-73.97498696,40.75640548,-73.9900262
W 20 St & 10 Ave,W 20 St & 7 Ave,10827,40.745686,-74.005141,40.74238787,-73.99726235
Central Park West & W 72 St,5 Ave & E 72 St,10796,40.77579376683666,-73.9762057363987,40.77282817,-73.96685276
University Pl & E 14 St,University Pl & E 14 St,10796,40.734814,-73.992085,40.734814,-73.992085
E 81 St & York Ave,E 85 St & 3 Ave,10793,40.7728384,-73.94989233,40.77801203,-73.95407149
E 85 St & 3 Ave,E 81 St & York Ave,10771,40.77801203,-73.95407149,40.7728384,-73.94989233
University Pl & E 14 St,Broadway & E 14 St,10730,40.734814,-73.992085,40.73454567,-73.99074142
E 31 St & 3 Ave,W 31 St & 7 Ave,10680,40.74394314,-73.97966069,40.749156,-73.9916
9 Ave & W 22 St,W 22 St & 8 Ave,10655,40.7454973,-74.00197139,40.74475148,-73.99915362
1 Ave & E 16 St,1 Ave & E 18 St,10631,40.732091188,-73.98168242,40.73381219196632,-73.98054420948029
